# cpu_id	count	pct	avg_bench_ms	avg_disk_mbs	cores	mem_mb	full_model
7763	6	60%	5276	584	4	15990	AMD EPYC 7763 64-Core Processor
9V74	4	40%	5037	403	4	15990	AMD EPYC 9V74 80-Core Processor
